net,length_um
rf._01105_,1120.305
rf._02937_,1036.73
rf._02834_,973.77
rf._02887_,947.86
rf._01082_,945.61
rf._01151_,910.84
rf._01146_,906
rf._02819_,872.57
rf._01080_,869.56
rf._02876_,868.64
rf._02867_,865.09
rf._02861_,857.25
rf._02859_,856.95
net20,853.32
rf._01101_,851.65
rf._01046_,837.7
rf._01103_,799.77
rf._01075_,795.07
rf._02874_,794.89
clknet_0_clk,784.31
rf._01068_,783.3
rf._02827_,774.675
rf._02851_,765.37
rf._02873_,762.94
rf._01060_,755.58
rf._02933_,751.285
rf._02925_,747.13
rf._02880_,747.04
rf._02846_,726.07
rf._02906_,725.68
rf._02865_,723.43
rf._02912_,723.02
rf._02837_,721.81
rf._01119_,720.26
rf._02885_,714.93
rf._02869_,714.6
rf._02862_,707.66
rf._02897_,702.8
rf._02879_,702.51
rf._01043_,700.08
rf._01035_,697.24
rf._02840_,696.92
net17,693.96
rf._02924_,691.44
rf._02820_,687.3
rf._01051_,683.84
rf._05374_,681.83
rf._02854_,681.585
rf._02931_,680.795
rf._02814_,680.42
rf._01026_,675.51
rf._01074_,673.265
rf._01061_,672.7
net7,668.22
rf._01090_,666.91
rf._02926_,664.66
rf._02894_,660.92
rf._01055_,659.65
rf._01137_,653.47
rf._02850_,651.34
rf._01069_,651.22
rf._02932_,644.06
rf._01056_,638.64
rf._01149_,633.94
rf._01031_,633.68
rf._05479_,633.42
rf._05516_,633.18
rf._01062_,628.69
rf._02823_,628.58
rf._01088_,626.6
rf._01148_,625.29
net24,624.44
net33,623.56
rf._02896_,616.54
rf._01052_,614.555
rf._01083_,610.54
rf._05442_,609.71
rf._04090_,607.72
rf._01089_,606.475
rf._01029_,603.12
rf._02907_,600.1
rf._05663_,598.03
rf._02936_,593.1
rf._02918_,588.8
rf._04593_,584.29
rf._01093_,583.18
clk,582.74
rf._01123_,577.8
rf._01439_,576.2
rf._02321_,572.92
rf._02853_,572.34
rf._04958_,571.82
rf._01189_,571.76
rf._02845_,568.55
rf._01120_,566.4
rf._01041_,566.06
rf._02903_,564.12
alu_inst.y\[16\],563.78
rf._05626_,563.5
rf._04091_,558.72
net31,558.18
rf._01117_,557.64
rf._02904_,556.96
rf._02905_,555.16
rf._05421_,554.3
rf._01109_,554
rf._04591_,553.48
rf._01039_,552.64
rf._01044_,552.34
rf._02815_,547.42
rf._02875_,545.03
rf._02898_,542.18
rf._05423_,540.92
rf._01042_,536.28
net16,535.32
rf._02911_,533.88
rf._01040_,533.72
rf._05118_,531.2
net3,526.14
rf._01134_,524.1
rf._01073_,524.02
net15,523.98
rf._02839_,523.38
rf._02852_,521.92
rf._01045_,521.34
rf._01126_,519.91
rf._01142_,515.095
rf._05429_,514.84
rf._05192_,510.01
rf._02843_,509.96
rf._05081_,508.94
rf._01085_,508.64
clknet_4_2__leaf_clk,505.56
imem_inst.instr\[21\],505.46
net10,503.02
rf._05699_,501.84
rf._01106_,499.68
rf._04956_,496.095
rf._02831_,495.13
rf._01144_,493.3
rf._05416_,492.05
clknet_4_14__leaf_clk,491.08
rf._01145_,489.84
rf._01058_,488.83
alu_inst._236_,486.46
net108,485.52
rf._04595_,483.92
rf._01138_,483.48
rf._05553_,481.26
rf._01124_,481.065
rf._04599_,480.42
clknet_4_1__leaf_clk,478.61
rf._04537_,477.68
clknet_4_7__leaf_clk,477.21
rf._04597_,475.46
rf._02892_,474.92
rf._02818_,472.435
